date,price
11/17/2019,400
11/18/2019,400
11/19/2019,400
11/20/2019,400
11/21/2019,400
11/22/2019,400
11/23/2019,400
11/24/2019,400
11/25/2019,400
11/26/2019,400
11/27/2019,400
11/28/2019,400
11/29/2019,400
11/30/2019,400
12/1/2019,400
12/2/2019,400
12/3/2019,400
12/4/2019,400
12/5/2019,400
12/6/2019,400
12/7/2019,400
12/8/2019,400
12/9/2019,400
12/10/2019,400
12/11/2019,400
12/12/2019,400
12/13/2019,400
12/14/2019,400
12/15/2019,400
12/16/2019,400
12/17/2019,400
12/18/2019,400
12/19/2019,400
12/20/2019,400
12/21/2019,400
12/22/2019,400
12/23/2019,400
12/24/2019,400
12/25/2019,400
12/26/2019,400
12/27/2019,400
12/28/2019,400
12/29/2019,400
12/30/2019,400
12/31/2019,400
1/1/2020,400
1/2/2020,400
1/3/2020,400
1/4/2020,400
1/5/2020,400
1/6/2020,400
1/7/2020,400
1/8/2020,400
1/9/2020,400
1/10/2020,400
1/11/2020,400
1/12/2020,400
1/13/2020,400
1/14/2020,400
1/15/2020,300
1/16/2020,300
1/17/2020,300
1/18/2020,300
1/19/2020,300
1/20/2020,300
1/21/2020,300
1/22/2020,300
1/23/2020,300
1/24/2020,300
1/25/2020,300
1/26/2020,300
1/27/2020,300
1/28/2020,300
1/29/2020,300
1/30/2020,300
1/31/2020,300
2/1/2020,300
2/2/2020,300
2/3/2020,300
2/4/2020,300
2/5/2020,300
2/6/2020,300
2/7/2020,300
2/8/2020,300
2/9/2020,300
2/10/2020,300
2/11/2020,300
2/12/2020,300
2/13/2020,300
2/14/2020,300
2/15/2020,300
2/16/2020,300
2/17/2020,300
2/18/2020,300
2/19/2020,300
2/20/2020,300
2/21/2020,300
2/22/2020,300
2/23/2020,300
2/24/2020,300
2/25/2020,300
2/26/2020,300
2/27/2020,300
2/28/2020,300
2/29/2020,300
3/1/2020,300
3/2/2020,300
3/3/2020,300
3/4/2020,300
3/5/2020,300
3/6/2020,300
3/7/2020,300
3/8/2020,300
3/9/2020,300
3/10/2020,300
3/11/2020,300
3/12/2020,300
3/13/2020,300
3/14/2020,300
3/15/2020,300
3/16/2020,300
3/17/2020,300
3/18/2020,300
3/19/2020,300
3/20/2020,300
3/21/2020,300
3/22/2020,300
3/23/2020,300
3/24/2020,300
3/25/2020,300
3/26/2020,300
3/27/2020,300
3/28/2020,300
3/29/2020,300
3/30/2020,300
3/31/2020,300
4/1/2020,300
4/2/2020,300
4/3/2020,300
4/4/2020,300
4/5/2020,300
4/6/2020,300
4/7/2020,300
4/8/2020,300
4/9/2020,300
4/10/2020,300
4/11/2020,300
4/12/2020,300
4/13/2020,300
4/14/2020,300
4/15/2020,300
4/16/2020,300
4/17/2020,300
4/18/2020,300
4/19/2020,300
4/20/2020,300
4/21/2020,300
4/22/2020,300
4/23/2020,300
4/24/2020,300
4/25/2020,300
4/26/2020,300
4/27/2020,300
4/28/2020,300
4/29/2020,300
4/30/2020,300
5/1/2020,300
5/2/2020,300
5/3/2020,300
5/4/2020,300
5/5/2020,300
5/6/2020,300
5/7/2020,300
5/8/2020,300
5/9/2020,300
5/10/2020,300
5/11/2020,300
5/12/2020,300
5/13/2020,300
5/14/2020,300
5/15/2020,300
5/16/2020,300
5/17/2020,300
5/18/2020,300
5/19/2020,300
5/20/2020,300
5/21/2020,300
5/22/2020,300
5/23/2020,300
5/24/2020,300
5/25/2020,300
5/26/2020,300
5/27/2020,300
5/28/2020,300
5/29/2020,300
5/30/2020,300
5/31/2020,300
6/1/2020,300
6/2/2020,300
6/3/2020,300
6/4/2020,300
6/5/2020,300
6/6/2020,300
6/7/2020,300
6/8/2020,300
6/9/2020,300
6/10/2020,300
6/11/2020,300
6/12/2020,300
6/13/2020,300
6/14/2020,300
6/15/2020,300
6/16/2020,300
6/17/2020,300
6/18/2020,300
6/19/2020,300
6/20/2020,300
6/21/2020,300
6/22/2020,300
6/23/2020,300
6/24/2020,300
6/25/2020,300
6/26/2020,300
6/27/2020,300
6/28/2020,300
6/29/2020,300
6/30/2020,300
7/1/2020,300
7/2/2020,300
7/3/2020,300
7/4/2020,300
7/5/2020,300
7/6/2020,300
7/7/2020,300
7/8/2020,300
7/9/2020,300
7/10/2020,300
7/11/2020,300
7/12/2020,300
7/13/2020,300
7/14/2020,300
7/15/2020,300
7/16/2020,300
7/17/2020,300
7/18/2020,300
7/19/2020,300
7/20/2020,300
7/21/2020,300
7/22/2020,300
7/23/2020,300
7/24/2020,300
7/25/2020,300
7/26/2020,300
7/27/2020,300
7/28/2020,300
7/29/2020,300
7/30/2020,300
7/31/2020,300
8/1/2020,300
8/2/2020,300
8/3/2020,300
8/4/2020,300
8/5/2020,300
8/6/2020,300
8/7/2020,300
8/8/2020,300
8/9/2020,300
8/10/2020,300
8/11/2020,300
8/12/2020,300
8/13/2020,300
8/14/2020,300
8/15/2020,300
8/16/2020,300
8/17/2020,300
8/18/2020,300
8/19/2020,300
8/20/2020,300
8/21/2020,300
8/22/2020,300
8/23/2020,300
8/24/2020,300
8/25/2020,300
8/26/2020,300
8/27/2020,300
8/28/2020,300
8/29/2020,300
8/30/2020,300
8/31/2020,300
9/1/2020,300
9/2/2020,300
9/3/2020,300
9/4/2020,300
9/5/2020,300
9/6/2020,300
9/7/2020,300
9/8/2020,300
9/9/2020,300
9/10/2020,300
9/11/2020,300
9/12/2020,300
9/13/2020,300
9/14/2020,300
9/15/2020,300
9/16/2020,300
9/17/2020,300
9/18/2020,300
9/19/2020,300
9/20/2020,300
9/21/2020,300
9/22/2020,300
9/23/2020,275
9/24/2020,275
9/25/2020,275
9/26/2020,275
9/27/2020,275
9/28/2020,275
9/29/2020,275
9/30/2020,275
10/1/2020,275
10/2/2020,275
10/3/2020,275
10/4/2020,275
10/5/2020,275
10/6/2020,275
10/7/2020,275
10/8/2020,275
10/9/2020,275
10/10/2020,275
10/11/2020,275
10/12/2020,275
10/13/2020,275
10/14/2020,275
10/15/2020,275
10/16/2020,275
10/17/2020,275
10/18/2020,275
10/19/2020,275
10/20/2020,275
10/21/2020,275
10/22/2020,275
10/23/2020,275
10/24/2020,275
10/25/2020,275
10/26/2020,275
10/27/2020,275
10/28/2020,275
10/29/2020,275
10/30/2020,275
10/31/2020,275
