Listing Title,Price,Date,Time
Microsoft Xbox Series X 1TB Video Game Console - Black,799.0,Dec-9,16:35
Microsoft Xbox Series X 1TB Video Game Console - Black  Sealed/New  In Hand! ,810.0,Dec-9,16:34
Microsoft Xbox Series X Console 1TB - In Hand! Ships Immediately!,800.0,Dec-9,16:34
Microsoft Xbox Series X 1TB Video Game Console - Black NEW IN HAND SHIPS FAST!!,840.0,Dec-9,16:33
Microsoft Xbox Series X 1TB Video Game Console - Black - IN HAND SHIPS NOW,849.99,Dec-9,16:32
Microsoft Xbox Series X 1TB Video Game Console - Black,799.99,Dec-9,16:32
Microsoft Xbox Series X 1TB Video Game Console - Black,760.0,Dec-9,16:31
Microsoft Xbox Series X 1TB Video Game Console - *IN HAND READY TO SHIP*,770.0,Dec-9,16:30
Microsoft Xbox Series X 1TB Video Game Console Brand New Ships ASAP,875.0,Dec-9,16:29
Microsoft Xbox Series X 1TB Video Game Console - Black In Hand!!!,760.0,Dec-9,16:28
Xbox Series X Competitive Bundle,899.0,Dec-9,16:26
Microsoft Xbox Series X Console System + Controller *BRAND NEW*,805.0,Dec-9,16:25
Microsoft - Xbox Series X 1tb console - NEW,810.0,Dec-9,16:23
Microsoft Xbox Series X 1TB Video Game Console - Black Brand New - Fast Shipping,799.0,Dec-9,16:22
Microsoft Xbox Series X Starter Launch Day System Bundle GameStop NEW In Hand,1250.0,Dec-9,16:21
MICROSOFT XBOX SERIES X (US) RRT-00001/RRT-00010 BLACK BRAND NEW  SHIPS FAST!,825.0,Dec-9,16:20
Xbox Series X Ubisoft Bundle,930.0,Dec-9,16:20
Microsoft Xbox Series X 1TB Video Game Console - Black,769.0,Dec-9,16:19
Microsoft Xbox Series X 1TB Video Game Console - Black,699.0,Dec-9,16:16
Microsoft Xbox Series X 1TB Video Game Console - Black *IN HAND & FREE SHIPPING*,899.0,Dec-9,16:14
Microsoft Xbox Series X 1TB Video Game Console - Black Brand New Same Day Ship,845.0,Dec-9,16:13
Microsoft Xbox Series X 1TB Video Game Console *IN HAND with proof of purchase*,850.0,Dec-9,16:11
Xbox Series X Black Image,495.0,Dec-9,16:11
Microsoft Series Xbox One X 1 TB Project Scorpio Edition 17 Games Call Of Duty,329.99,Dec-9,16:10
Microsoft Xbox Series X 1TB Console ⚡ IN HAND⚡ New/Sealed SHIP VIA PRIORITY MAIL,850.0,Dec-9,16:07
Microsoft Xbox Series X 1TB Video Game Console - Black,890.0,Dec-9,16:04
Microsoft Xbox Series X 1TB Video Game Console - Black-New in box  ships ASAP,745.0,Dec-9,16:04
Microsoft Xbox Series X 1TB Video Game Console - Black,780.0,Dec-9,16:03
Microsoft Xbox Series X 1TB Video Game Console - Black,800.0,Dec-9,16:02
Microsoft Xbox Series X 1TB Video Game Console In Hand SHIPS TODAY,849.0,Dec-9,16:00
Microsoft Xbox Series X IN HAND READY TO SHIP,849.0,Dec-9,15:59
Microsoft Xbox Series X 1TB Video Game Console SHIPS NOW,800.0,Dec-9,15:59
Microsoft Xbox Series X 1TB Video Game Console - Black IN HAND Ready To Ship,820.0,Dec-9,15:55
Microsoft Xbox Series X 1TB - Xbox Series S - In Hand! Ship today!,500.0,Dec-9,15:55
Xbox Series X Bundle,850.0,Dec-9,15:55
Microsoft Xbox Series X 1TB Console - BRAND NEW - SEALED,845.0,Dec-9,15:54
Microsoft Xbox Series X 1TB Video Game Console - In Hand!,840.0,Dec-9,15:52
Microsoft Xbox Series X 1TB Video Game Console - Black,849.0,Dec-9,15:50
Microsoft Xbox Series X 1TB Video Game Console - IN HAND - SHIPS TODAY,939.5,Dec-9,15:50
Microsoft Xbox Series X 1TB Console IN HAND - NEW w/Free Shipping,799.99,Dec-9,15:48
Xbox Series Console NEW 2020 4K 120HZ Picture *selling fast* ORDER SOON,599.0,Dec-9,15:45
Microsoft Xbox Series X 1TB Console Limited - Ready to Ship ASAP,849.98,Dec-9,15:44
Microsoft Xbox Series X 1TB Console - Black (FREE SHIPPING) Ships Today! In Hand,820.0,Dec-9,15:42
Xbox Series X New 1TB Video Game Console - IN HAND- Ready to Ship,780.0,Dec-9,15:40
COSTCO BUNDLE Microsoft Xbox Series X 1TB Video Game Console W Extra Controller,949.0,Dec-9,15:39
Microsoft Xbox Series X 1TB Video Game Console Confirmed in hand unopened,791.0,Dec-9,15:39
XBOX SERIES X 1TB Console with TWO Controllers - Ready to Ship ✅,849.99,Dec-9,15:37
microsoft xbox series x In Hand ,784.99,Dec-9,15:36
Microsoft Xbox Series X 1TB Console BLACK. Brand New and Unopened with receipt. ,725.0,Dec-9,15:34
Microsoft XBOX SERIES X Console 1TB NEW IN HAND ** Arrives Before Christmas **,775.0,Dec-9,15:32
Microsoft Xbox Series X 1TB Video Game Console FREE SHIP TODAY,810.0,Dec-9,15:31
Microsoft Xbox Series X 1TB Video Game Console & Extra Controller *Ready to Ship,765.0,Dec-9,15:30
Microsoft Xbox Series X 1TB Picture *In Hand*  *read description*,650.0,Dec-9,15:30
Microsoft Xbox Series X 1TB Video Game Console - Black,790.0,Dec-9,15:27
Microsoft Xbox Series X Console,795.0,Dec-9,15:26
Microsoft Xbox Series X 1TB Video Game Console - Black,780.0,Dec-9,15:23
Microsoft Xbox Series X ,760.0,Dec-9,15:21
Microsoft Xbox Series X 1TB Video Game Console - READY TO SHIP!,770.0,Dec-9,15:18
Microsoft Xbox Series X 1TB Video Game Console BRAND NEW! SHIPS FAST 🔥,750.0,Dec-9,15:17
Microsoft Xbox Series X 1TB Video Game Console - NEW IN HAND - SHIPS NEXT DAY,790.0,Dec-9,15:17
Microsoft Xbox Series X Starter Launch Day System Bundle GameStop NEW In Hand,999.0,Dec-9,15:11
Microsoft Xbox Series X 1TB Video Game Console -  NEW - SEALED ,805.0,Dec-9,15:10
Microsoft Xbox Series X 1TB Video Game Console - Black *IN- HAND* BOX DENTED,750.0,Dec-9,15:07
Xbox Series X 1TB Console | In Hand |  Ship same day.  ,810.0,Dec-9,15:07
Microsoft Xbox Series X ***BRAND NEW***,751.0,Dec-9,15:02
BRAND NEW XBOX SERIES X 1TB VIDEO GAME CONSOLE⚡️IN HAND READY TO SHIP SAME DAY⚡️,800.0,Dec-9,15:00
Microsoft Xbox Series X 1TB Video Game Console Brand New Sealed In Hand,849.95,Dec-9,15:00
Microsoft Xbox Series X 1TB Console BLACK. Brand New and Unopened!  ,735.0,Dec-9,15:00
Microsoft - xbox series x 1tb console - black,745.0,Dec-9,15:00
IN HAND READY TO SHIP Microsoft Xbox Series X 1TB Video Game Console - Black,761.0,Dec-9,15:00
Microsoft Xbox Series X 1TB Video Game Console - ✅ FAST SHIPPING IN HAND ✅,725.0,Dec-9,14:57
New Listing Microsoft Xbox Series X 1TB ⚡️SAME DAY SHIPPING ⚡️🚚💨,770.0,Dec-9,14:56
Microsoft Xbox Series X Console System 1TB Controller *IN HAND Same day Shipping,764.0,Dec-9,14:54
Ships Today! Microsoft Xbox Series X 1 TB Console - BRAND NEW - SEALED -IN HAND-,899.99,Dec-9,14:53
Microsoft Xbox Series X 1TB Video Game Console New In Box Never Opened,769.99,Dec-9,14:53
Microsoft Xbox Series X 1TB Video Game Console - Black - In Hand - Same Day Ship,860.0,Dec-9,14:51
Microsoft Xbox Series X 1TB Video Game Console - Black BRAND NEW! (On Hand),850.0,Dec-9,14:50
New Xbox One Series X WITH ADDITIONAL CONTROLLER - Costco Bundle,850.0,Dec-9,14:49
Microsoft Xbox Series X 1TB Console - Black - Factory Sealed.,700.0,Dec-9,14:45
Microsoft Xbox Series X 1TB  Console - Black same day shipping ,800.0,Dec-9,14:43
Microsoft Xbox Series X 1TB Video Game Console + Controller - Brand New Sealed,775.0,Dec-9,14:43
Microsoft Xbox Series X 1TB Video Game Console – Black- SHIP ASAP- BRAND NEW,775.0,Dec-9,14:42
NEW!! Microsoft Xbox Series X 1TB Video Game Console - Black,839.99,Dec-9,14:42
Microsoft Xbox Series X 1TB ALL ACCESS Video Game Console - Black  NEW IN HAND,799.0,Dec-9,14:40
Microsoft Xbox Series X 1TB Video Game Console - Black,835.0,Dec-9,14:40
Xbox Series X Console With Extra Controller Carbon Black ,840.0,Dec-9,14:38
Microsoft Xbox Series X Console System 1TB + Controller SSD BLACK Brand NEW,850.0,Dec-9,14:36
Microsoft Xbox Series X 1TB Video Game Console - Black,788.0,Dec-9,14:35
Xbox Series X Bundle *NEW IN HAND* w/ Gaming Headset & Watch Dogs Legion Digital,800.0,Dec-9,14:29
🎁MICROSOFT XBOX SERIES X 🌟CONSOLE 1TB NEW IN HAND 🚚FAST SHIPPING🎁,779.99,Dec-9,14:21
Microsoft Xbox Series X 1TB Video Game Console - Black - BRAND NEW - IN HAND,770.0,Dec-9,14:20
MICROSOFT XBOX SERIES X CONSOLE 1TB NEW IN HAND FAST SHIPPING,789.99,Dec-9,14:20
Microsoft Xbox Series X 1TB Video Game Console - Black Brand New ✅ 100% Rated ✅,800.0,Dec-9,14:19
Xbox series x 1tb console - black,775.0,Dec-9,14:18
Xbox Series X 1TB Bundle. Includes Extra Controller. In Hand Ready To Ship!,849.0,Dec-9,14:17
Xbox Series X Console & ROG Headset (Sam’s Club Bundle) Sealed Brand NEW In-Hand,780.0,Dec-9,14:17
New Xbox One Series X WITH ADDITIONAL CONTROLLER - Costco Bundle,879.99,Dec-9,14:14
Microsoft XBOX Series X,780.0,Dec-9,14:14
Microsoft Xbox Series X 1TB Video Game Console - Black,755.0,Dec-9,14:12
Microsoft Xbox Series X 1TB Console. Ready To Ship!,750.0,Dec-9,14:10
Microsoft Xbox Series X 1TB Video Game Console - Black. IN HAND. BRAND NEW.,800.0,Dec-9,14:10
Microsoft Xbox Series X 1TB Video Game Console - Black - Ready To Ship,805.0,Dec-9,14:10
Microsoft Xbox Series X Console System 1TB + Controller SSD BLACK Brand NEW,716.0,Dec-9,14:09
Microsoft XBOX Series X Bundle with Extra Controller IN HAND READY TO SHIP!,899.99,Dec-9,14:09
🔥 Microsoft Xbox Series X 1TB Video Game Console Black BRAND NEW Ships Now,849.0,Dec-9,14:08
Microsoft Xbox Series X Console 1TB Brand New In Hand w/ Fast Same Day Shipping,810.0,Dec-9,14:08
Microsoft Xbox Series X 1TB Video Game Console - Black - IN HAND SHIPS ASAP!!!,760.0,Dec-9,14:08
XBOX SERIES X XSX CONFIRMED ORDERED DEC 14,757.53,Dec-9,14:06
Microsoft Xbox Series X 1TB Video Game Console - in time for Xmas Ready to Ship!,740.0,Dec-9,14:05
Microsoft Xbox Series X 1TB (IN HAND!!)                                Read Desc,700.0,Dec-9,14:03
🔥🔥 XBOX SERIES X SEALED IN HAND 🔥🔥,960.0,Dec-9,14:00
Microsoft Xbox Series X 1TB Video Game Console - IN HAND UNOPEN,740.0,Dec-9,14:00
GameStop Xbox Series X Ubisoft Hits System Bundle IN HAND & READY TO SHIP!,1000.0,Dec-9,13:59
GAMESTOP Xbox Series X Ubisoft Hits System Bundle! In hand! RETAILS $900,870.0,Dec-9,13:58
Microsoft- Xbox Series X 1TB Console Black ✅✅✅ .🌟🌟🌟 FREE SHIPPING 🚚,875.0,Dec-9,13:54
Microsoft XBOX SERIES X CONSOLE 1TB SSD In HAND READY TO SHIP NEW,1024.98,Dec-9,13:51
🔥 Microsoft Xbox Series X 1TB SSD Console Brand New Fast Shipping 🔥 In Hand,899.0,Dec-9,13:51
Microsoft Xbox Series X 1TB Video Game Console - Black,745.0,Dec-9,13:50
Xbox Series X Console Bundle,865.0,Dec-9,13:49
Brand New. IN HAND. Microsoft Xbox Series X 1TB Video Game Console - Black,735.0,Dec-9,13:49
Microsoft Xbox Series X 1TB Video Game Console - Black - ✅🚚 FAST FREE SHIPPING,799.99,Dec-9,13:48
Xbox Series X [IMAGE ONLY] READ DISCRIPTION READ BELOW,600.0,Dec-9,13:47
Microsoft Xbox Series X 1TB Video Game Console - Black Brand New,799.99,Dec-9,13:46
Microsoft Xbox Series X 1TB Video Game Console  Brand New  Never Opened,770.0,Dec-9,13:46
Microsoft Xbox Series X Video Game Console In Hand SHIPS TODAY,795.0,Dec-9,13:43
Microsoft Xbox Series X 1TB Video Game Console - Black,820.0,Dec-9,13:43
Xbox Series X Compettive System Bundle,910.0,Dec-9,13:43
Microsoft Xbox Series X 1TB Video Game Console - Black (In Hand Ships Fast!),749.99,Dec-9,13:41
Microsoft Xbox Series X 1TB Video Game Console - Black,850.0,Dec-9,13:33
🔥🔥 XBOX SERIES X SEALED IN HAND 🔥🔥 ***SHIPS IMMEDIATLY***,785.0,Dec-9,13:30
🔥NO RESERVE🔥 Microsoft Xbox Series X 1TB Video Game Console - Ready To Ship,750.0,Dec-9,13:30
Microsoft Xbox Series X 1TB Console - New Sealed In-Hand ready to ship!!!,760.0,Dec-9,13:28
Microsoft Xbox Series X 1TB Video Game Console Bundle Extra Controller. IN HAND,849.0,Dec-9,13:27
Microsoft Xbox Series X 1TB Video Game Console  Black IN HAND SHIPS IMMEDIATELY!,799.99,Dec-9,13:27
Microsoft Xbox Series X Console- IN HAND/UNOPENED/FAST SHIPPING!!,760.0,Dec-9,13:27
Microsoft XBOX SERIES S  New Sealed X Box console.  IN HAND. READY TO SHIP.,525.0,Dec-9,13:27
Microsoft Xbox Series X 1TB Video Game Console - Black,860.0,Dec-9,13:26
Microsoft Xbox Series X 1TB Video Game Console Brand New In Hand,849.99,Dec-9,13:24
Xbox Series X Console - IN HAND - Bundle w/ Extra Controller!!! 🔥Ships ASAP!!!,750.0,Dec-9,13:24
Brand New And In Hand Microsoft Xbox Series X 1TB Video Game Console - Black,740.0,Dec-9,13:22
Ready To Ship - Microsoft Xbox Series X 1TB Video Game Console - Black,849.0,Dec-9,13:22
Microsoft Xbox Series X 1TB Video Game Console - Black NEW,785.01,Dec-9,13:22
Xbox Series X Ubisoft Hits System Gamestop Bundle + 3 Extra Games  SHIPS TODAY!,1200.0,Dec-9,13:21
Microsoft Xbox Series X Video Game Console -In Hand!! Ships Fast!!,845.0,Dec-9,13:21
Microsoft Xbox Series X Video Game Console Bundle With 3 Month Game Pass,735.0,Dec-9,13:16
Microsoft Xbox Series X Console Brand New & Sealed In Hand  Fast Shipping!,800.0,Dec-9,13:15
Microsoft Xbox Series X Video Game Console 1TB - Black IN HAND - SHIPS SAME DAY,900.0,Dec-9,13:14
XBOX Series X Console Bundle W/ 2 Games  Extra Controller & XBOX Game Pass!,900.0,Dec-9,13:13
Microsoft Xbox Series X 1TB Video Game Console - Black,798.0,Dec-9,13:10
🎄Microsoft Xbox Series X 1TB Video Game Console - HARD2FIND🎄,735.0,Dec-9,13:08
Microsoft Xbox Series X Game Console 1TB - Black - In Hand SHIPS ASAP - New,769.0,Dec-9,13:06
Microsoft Xbox Series X 1TB Video Game Console - Black,770.0,Dec-9,13:06
Xbox Series X with extra Wireless Controller - NIB - Free Shipping,801.0,Dec-9,13:05
🔥🔥🔥 XBOX SERIES X 🔥🔥🔥 BRAND NEW. SEALED IN BOX. In Hand Ready to Ship!,790.0,Dec-9,13:05
Microsoft Xbox Series X 1TB Video Game Console - Black,774.97,Dec-9,13:04
Microsoft Xbox Series X 1TB Console - IN HAND NOW! SHIPS TODAY!,810.0,Dec-9,13:03
Microsoft Xbox Series X 1TB Video Game Console - Black,760.0,Dec-9,13:03
Microsoft Xbox Series X 1TB Video Game Console - Black BRAND NEW IN HAND ,949.99,Dec-9,13:02
Microsoft XBOX Series X Console - In Hand and Ready To Ship - Brand New In Box!,875.0,Dec-9,13:02
Microsoft Xbox Series X 1TB Video Game Console - IN HAND - FREE SHIPPING!!,824.99,Dec-9,13:00
Xbox Series X With Extra Controller!! BUNDLE!! BRAND NEW  SHIPS IMMEDIATELY!!,864.0,Dec-9,13:00
Microsoft Xbox Series X 1TB Video Game Console -Black Bundle w/ extra controller,800.0,Dec-9,12:57
